,Time,Amount,Transaction Method,Transaction Id,Location,Type of Card,Bank,Class
0,-133200.39374319,-191.14266905194694,251.83854325595337,-577.0313442773615,-719.4208581131916,-0.7311354755772266,2.4166323993367858,1
1,55275.163352559495,38.866414493919876,-744.4624756705963,-506.44543243784096,1362.6059262922079,3.295426340720801,0.07462231361278593,0
2,-4312.198820196732,-190.3659646459865,39.41860352971287,-1080.293209323882,-448.1573139668749,4.184862257038864,-0.2847438742825583,0
3,-136767.1511859392,533.0679253728863,489.469421841216,-1381.5793245270095,523.2612846132208,6.867185680418821,-0.05284435420378841,0
4,-28657.57539732223,-649.2344152314265,502.5862572943013,210.02264369488626,-1094.1957853552694,4.348831959797779,-0.363008164315208,0
5,15714.31277129025,-23.023237347837608,1402.9205461179324,-109.62276687763506,-677.9616452096029,-51.94389387688007,-23.6460077455822,1
6,-102288.53904432908,354.3878878977803,650.5281128061815,267.0480269989969,114.64686034881947,5.776893605102479,0.04895636474162157,0
7,-8117.59482042116,884.8550235793023,315.5032797541105,252.11732612685205,-35.45001765505481,3.840515611452807,-0.04347363227323986,0
8,71311.53428462037,282.2611046327622,339.35800361892007,-89.11101707984426,-226.64464529448765,2.175145020386581,-0.09048176989735013,0
9,-123571.72222756897,679.0118296615731,-15.719862702211913,-257.61366915767485,-1525.4490120577275,6.593742323745202,-0.3015174912680658,0
10,-103620.59531821005,443.529302330036,284.6252108348567,-486.3617520423809,-1072.5963251139578,6.290859909855099,-0.37740912536453397,0
11,63762.54367086722,521.1356930521922,-1020.5856237927399,802.6891223858963,-284.1524030421824,2.776881065188566,-0.05804322359651426,0
12,146561.4839405886,368.3742230927014,-347.1303207363438,405.9292248213876,-537.1002104862966,0.6637642388301863,-0.03398528021966074,0
13,-33575.16727561732,-881.4338950779486,-177.59855316016478,240.44494872568703,166.98225817144635,5.122057078123095,-0.3268402876235632,0
14,66289.86753419714,-52.77394481332442,-1338.700943904573,68.10132437206607,-119.35200209413779,3.4307684589375835,-0.5269283519426892,0
15,136354.4961086965,386.55892799248886,-91.3353209926421,1463.9608460713928,716.9120288410088,-6.033807296192593,2.4840891256599056,1
16,-10982.327663689415,77.38862639028673,957.4703395979463,-973.4132093041466,2.5073659236481944,3.2204415332647125,0.3983323409158732,0
17,68122.35391213899,255.27667226511005,1341.2702615568533,-55.29387070112716,-270.5325513336518,1.9103982253390805,0.13305780565241765,0
18,-833.6575860666053,421.28649241791516,1821.0103150154748,-82.20882285264815,204.37623229521841,0.9727371736205814,-2.65310166944644,0
19,-70077.25611666747,-969.6056636727125,632.9032291975668,524.8257135637789,599.4830232449497,5.268986012283419,0.005493249453147886,0
20,34666.79398915949,-420.62442962980504,-442.0735424495225,-134.08448736638024,-218.32675669544824,-10.359527955935476,4.8705489685960845,1
21,46258.98067780078,-1412.8068500043473,-263.861933055623,-389.62756687872843,-226.69542760503305,-5.475886583852442,2.699555590292719,1
22,-134338.21554797428,-1312.5666792779798,418.7389654580445,826.8265933045243,632.2334931709418,6.77213722051464,-1.451960404226976,0
23,-111569.19090096053,-841.1287879684955,589.9006283978549,-1059.663969940027,-444.1557139256947,6.181901966127265,-1.041336290889204,0
24,-126410.64583734369,194.33644003591837,-210.90813442617673,1180.3574319762758,-399.6656875433064,-39.83210603828238,-1.028005383807547,1
25,-85599.25060507382,-597.6739634130703,413.0856201783399,-198.3489444204033,99.99337926945259,5.330115615659393,0.32167702025872225,1
26,-114812.19919731154,-206.90078576792158,-1408.2419156666451,86.49581201622073,-551.8360427048651,-2.2075104886508585,3.655051384034084,1
27,91308.76248258623,227.03803617175606,-900.0515465241165,-256.6369075306309,-341.34171678447433,1.888703445759777,-1.3556611366829752,0
28,112300.6939587059,531.8361936624069,663.9539053265801,-784.8364402409419,375.616342618988,1.4141906696175113,-0.11062850032289706,0
29,32473.39956965702,161.2137413052062,57.08912515315535,1639.3992694928068,375.7261323196342,3.0008087538012784,-0.20391749854870433,0
30,-112870.68301350319,202.87563936098968,1646.924731203241,-120.31800344538374,-242.21323841661456,5.494398132369881,0.15525407188176543,0
31,-133031.887351718,-814.1172449587547,-309.71465729497646,214.82779609866725,1484.391731556754,6.237842956381863,-2.004529576366526,0
32,-128629.2696625116,587.9866222142231,-805.5505667678605,-925.0866176042042,-657.6024600877827,7.133568162826077,-0.41986847730130894,0
33,-70799.11604122659,-1180.6114578639108,595.1305013919771,-941.144078302429,-263.4020467340886,4.997668889437177,-0.9368958901883004,0
34,138570.30627512565,248.80812262493782,1597.6753960837707,294.86222105453385,-0.09777116122222651,-0.7670585459049386,-0.4627550202170011,0
35,4388.854498459579,-505.4434066692186,-455.90443705674426,-1667.4947728361033,-1396.6387575646381,3.619716551929612,-2.270820511169962,0
36,95454.68664241137,-585.6813041155523,435.443812891084,120.78245465773125,55.22135922308462,1.4600587715308473,0.22919797098776407,0
37,-131250.36091539616,284.7964897008346,621.9923124886059,210.90029832438108,859.3764667511584,-10.801557902555668,6.0562949374163875,1
38,-127916.14399667828,25.14789123531159,644.2470289566843,-265.1540174708525,1280.1409083107235,-3.817986730693401,1.0557650819984168,1
39,133530.82222987077,654.4586602206932,140.90362714324056,-450.59181511446764,969.1326941347454,0.6775143185238068,0.6717453642727831,0
40,-73407.39096346928,34.03416444979467,-644.4767354407508,411.56352440825344,-373.8928978980539,5.537447248252836,-1.1667001762348934,0
41,-65011.87263031643,-1367.9992547614224,5.1258905451034025,-660.1370942663764,534.0124578084699,2.9362501560184375,-5.059969940504612,0
42,-104844.4015606166,807.936885103953,454.1764885605835,-171.1221256136596,600.7808999975157,-4.944516958174323,2.1037334107376777,1
43,-6263.021475928836,732.8775954655121,249.61238044079698,-1505.0416795307935,967.2520134152226,4.0227419934189275,0.01335451471434812,0
44,29330.911840415298,-685.876652900218,-214.5197413540629,-190.53052244045261,269.8342460121546,3.761596716090794,-0.20114988722772242,0
45,10550.754230169463,9.837294903248448,-849.4576603831333,345.1040553175351,55.05717751957377,4.143659051858505,-0.06880321618311624,0
46,105272.5464690844,809.8312680598679,-453.58112062785017,-689.8168863849132,-937.9571802696161,-15.975692701927851,3.0959053116059296,1
47,82725.5949526547,31.813048401919332,348.55846321510535,316.15644955295534,233.63970471491848,1.7909169652674128,0.18650976647354045,0
48,-111469.90119780794,-282.24189093536677,-432.44863950065474,258.10491893794483,1790.769246202625,6.996019428765035,-0.2683122649159264,0
49,-113728.29477285092,1071.19308417915,-296.31066301750406,-479.07591224777366,442.6633238379502,5.9403262807516075,-0.8221039912862161,0
50,-34192.44173020196,-562.9094980794873,1022.8671228427897,231.26041076043998,76.2144630856028,4.565774437630668,-0.0567634473824028,0
51,-91558.48066901305,-574.2887977874896,-1133.180994197834,1060.821040040211,-1119.0463451533801,6.536672759589127,-0.8332251874593831,0
52,-47409.5149737286,280.9514378601018,783.3677319874632,-71.77087688070583,-47.49325963253864,4.5890653457509245,0.14026817451343043,0
53,-69598.46993686294,-387.35523740415886,-723.1132664529625,1141.5454985387466,-506.9447590709997,-3.801513284818376,4.055515419530266,1
54,57438.95172723243,-254.7331846315854,-1311.753040342943,285.8202312898568,345.67890354651286,3.147772822770756,-1.073802703647275,0
55,44871.63879985755,-518.3974028509429,306.48040520789925,1040.613752078067,628.3287264956023,1.6457623328055737,1.4964336005254049,1
56,142447.3841716653,10.376286047292695,-80.89345759979699,-385.70565201863315,-1821.709796490858,0.5489389289592959,-1.1743538731671221,0
57,37115.752249552315,-498.43892932479184,-1092.5938895949967,-281.3667454064853,-1157.3180237699141,4.047607480875024,-0.6422219907259443,0
58,92321.52316348476,-778.6817070068648,1039.431956990087,729.950552307412,154.16961225726095,-6.23792035688533,-11.349828664699215,0
